resmed_part,description,value,part_data,manufacturer,manufacturer_part,manufacturer_part_alt,package
E804-0001,"Ferrite Bead, surface mount",FB-BLM15,"470R, 200mA",Murata,BLM15GG471SN1D,,402
E804-0002,"Inductor, surface mount",3nH,,Susumu,HPL1005-3N0,,402
E806-0001,"LDO Voltage Regulator, 3.3V",LD2981,,STMicroelectronics,LD2981CM33TR,,SOT23-5L
E806-0002,"LDO Voltage Regulator, 2.5V",LK112,,STMicroelectronics,LK112M25TR,,SOT23-5L
E807-0003,NC7SV00P5X Single NAND gate,NC7SV00,,Fairchild Semi,NC7SV00P5X,,SC70
E801-0001,"Resistor, surface mount",0R,0.063W,Vishay Dale,CRCW04020000Z0ED,,402
E801-0002,"Resistor, surface mount",100K,"0.063W,1%,100ppm",Yageo,RC0402FR-07100KL,,402
E801-0003,"Resistor, surface mount",430K,"0.063W,1%,100ppm",Yageo,RC0402FR-07430KL,,402
E801-0004,"Resistor, surface mount",10K,"0.063W,1%,100ppm",Yageo,RC0402FR-0710KL,,402
E801-0005,"Resistor, surface mount",6.8K,"0.063W,1%,100ppm",Yageo,RC0402FR-076K8L,,402
E801-0006,"Resistor, surface mount",10M,"0.063W,1%,100ppm",Yageo,RC0402FR-0710ML,,402
E801-0007,"Resistor, surface mount",10R,"0.063W,1%,100ppm",Vishay Dale,CRCW040210R0FKED,,402
E801-0008,"Resistor, surface mount",1K,"0.063W,1%,100ppm",Yageo,RC0402FR-071KL,,402
E801-0009,"Resistor, surface mount",510R,"0.063W,1%,100ppm",Yageo,RC0402FR-07510RL,,402
E801-0010,"Resistor, surface mount",1M,"0.063W,1%,100ppm",Yageo,RC0402FR-071ML,,402
E801-0011,"Resistor, surface mount",220K,"0.063W,1%,100ppm",Vishay Dale,CRCW0402220KFKED,,402
E801-0012,"Resistor, surface mount",220R,"0.063W,1%,100ppm",Yageo,RC0402FR-07220RL,,402
E801-0013,"Resistor, surface mount",240R,"0.063W,1%,100ppm",Yageo,RC0402FR-07240RL,,402
E801-0014,"Resistor, surface mount",330K,"0.063W,1%,100ppm",Yageo,RC0402FR-07330KL,,402
E801-0015,"Resistor, surface mount",3K3,"0.063W,1%,100ppm",Yageo,RC0402FR-073K3L,,402
E801-0016,"Resistor, surface mount",3M3,"0.063W,1%,100ppm",Yageo,RC0402FR-073M3L,,402
E801-0017,"Resistor, surface mount",75K,"0.063W,1%,100ppm",Vishay Dale,CRCW040275K0FKED,,402
E801-0018,"Resistor, surface mount",75K,"0.1W,1%,100ppm",Yageo,RC0603FR-0775KL,,603
E801-0019,"Resistor, surface mount",100K,"0.1W,1%,100ppm",Panasonic,ERJ-3EKF1003V,,603
E801-0020,"Resistor, surface mount",22M,"0.1W,5%,200ppm",Stackpole Electronics,RMCF0603JT22M0,,603
E801-0021,"Resistor, surface mount",33R,"0.1W,1%,100ppm",Stackpole Electronics,RMCF0603FT33R0,,603
E801-0022,"Resistor, surface mount",4K7,"0.1W,1%,100ppm",Panasonic,ERJ-3EKF4701V,,603
E801-0023,"Resistor, surface mount",5K6,"0.1W,1%,100ppm",Yageo,RC0402FR-075K6L,,402
E801-0024,"Resistor, surface mount",100R,"0.063W,1%,100ppm",Vishay Dale,CRCW0402100RFKED,,402
E801-0025,"Resistor, surface mount",910R,"0.063W,1%,100ppm",Yageo,RC0402FR-07910RL,,402
E801-0026,"Resistor, surface mount",120R,"0.063W,1%,100ppm",Vishay Dale,CRCW0402120RFKED,,402
E801-0027,"Resistor, surface mount",51R,"0.063W,1%,100ppm",Vishay Dale,CRCW040251R0FKED,,402
E805-0004,"BJT Transistor, NPN",SST2369,,Fairchild Semi,MMBT2369A,,SOT-23
E805-0005,"BJT Transistor, PNP",SST2907,,Fairchild Semi,MMBT2907A,,SOT-23
E805-0006,"BJT Transistor, NPN",SST2222A,,Fairchild Semi,MMBT2222A,,SOT-23
E806-0003,TI rail-to-rail low power DUAL op-amp,TLV272DGKR,,Texas Instruments,TLV272IDGKR,,MSOP8
E808-0001,"Ceramic Resonator, surface mount",4.000MHz,0.5%,KYOCERA,PBRC4.00GR50X000,,PBRC-G
E808-0002,Dielectric Resonator,TE10.054GHz,,Caiqin (C&Q),TE10.054GHz,,DR
R22101-221,"Printed Circuit Board, ISOLA FR0402",,,OnPress (RST Supplier),BM14.3GBR.009(PPR2).zip,,IsolaFR402
E811-0001,SMA Red glue for Dielectric Resonator,,,Arikawa Electronics,SMT3611,,
R22101-306,Barcode Label,,,IDT,300206382-00001-10 REV7,,
